GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
,799,Marion LF,MA,Benson Brook Road,Marion,Plymouth,02738,41.7024,-70.781,Public,"Town of Marion, MA",1968,1993,Closed,,,No,,,869-0,Low Potential,,,,Unknown,Unknown,,,,,,
,781,Marshfield LF,MA,Clay Pit Road & Grove Street,Marshfield,Plymouth,02050,42.112,-70.708,Public,"Town of Marshfield, MA",1964,2000,Closed,"774,189",,No,,,851-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003587,773,Martone Landfill,MA,99 Barre Depot Road,Barre,Worcester,01005,42.388,-72.067,Private,"Waste Management, Inc.",1976,2015,Closed,"3,845,319",2015,Yes,0.672,0.672,843-0,Shutdown,Project #1,1/1/1995,12/5/2017,Electricity,Reciprocating Engine,,0.8,0.8,,,
1010391,20703,Middleborough Landfill,MA,207 Plympton Street,Middleborough,Plymouth,02346,41.9257,-70.83147,Private,"Waste Management, Inc.",1962,2031,Open,"1,838,917",2019,Yes,0.47,0.47,200910-0,Candidate,,,,Unknown,Unknown,,,,,,
,790,Nantucket LF,MA,188 Madaket Road,Nantucket,Nantucket,02554,41.279,-70.165,Public,"Town of Nantucket, MA",1940,2029,Open,"890,568",,No,,,860-0,Future Potential,,,,Unknown,Unknown,,,,,,
,791,New Bedford LF,MA,1103 Shawmut Avenue,New Bedford,Bristol,02746,41.662589,-70.957314,Public,"New Bedford, Department of Public Works",1921,2000,Closed,"3,600,000",1994,No,,,861-0,Low Potential,,,,Unknown,Unknown,,,,,,
1002593,1835,Northampton Landfill,MA,170 Glendale Road,Florence,Hampshire,01062,42.29385,-72.71622,Public,"City of Northampton, DPW, MA",1969,2013,Closed,"2,900,518",2013,Yes,0.161,0.161,166408-0,Shutdown,Project #1,3/13/2008,6/30/2017,Electricity,Reciprocating Engine,,0.8,0.8,0.504,,
,803,Otis Air Force Base LF,MA,Connery Road,Buzzards Bay,Barnstable,02532,41.6647,-70.5479,Public,Mass Air National Guard,1940,1989,Closed,,,No,,,873-0,Low Potential,,,,Unknown,Unknown,,,,,,
,783,Palmer LF,MA,Emery Street,Palmer,Hampden,01069,42.2025,-72.322,Public,"Town of Palmer, MA",1976,1997,Closed,,,No,,,853-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-0,Shutdown,Project #2,3/1/2003,12/31/2005,Electricity,Reciprocating Engine,,5.3,5.6,,0.0000,0.0000
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-1,Shutdown,"Project #2, De-Expansion #1",1/1/2006,12/31/2007,Electricity,Reciprocating Engine,,4.7,4.8,2.6,0.0000,0.0000
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-2,Shutdown,"Project #2, De-Expansion #2",1/1/2008,12/31/2010,Electricity,Reciprocating Engine,,3.7,4,2.2,0.0000,0.0000
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-3,Shutdown,"Project  #1, De-Expansion #3",1/1/2011,12/31/2013,Electricity,Reciprocating Engine,,2.4,3.2,1.27,0.0000,0.0000
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-4,Shutdown,"Project  #1, De-Expansion #4",1/1/2014,12/31/2019,Electricity,Reciprocating Engine,,2.1,2.4,1.15,0.0000,0.0000
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,180226-5,Operational,"Project #1, De-Expansion #5",1/1/2020,,Electricity,Reciprocating Engine,,1.24,1.6,0.779,0.0560,0.0065
1004557,785,Plainville LF,MA,14 Belcher Street,Plainville,Norfolk,02762,42.0392,-71.292,Private,"Republic Services, Inc.",1975,1998,Closed,"7,426,271",1998,Yes,1.163,,855-0,Shutdown,Project #1,9/1/1996,12/31/2002,Direct,Direct Thermal,,,,3.6,,
,10641,Quarry Hills Soils LF,MA,Ricciuti Drive,Quincy,Norfolk,02169,42.2417,-71.04503,Private,Quarry Hills Associates Inc.,1998,2001,Closed,,,Yes,,,180921-0,Shutdown,Project #1,3/30/2009,12/31/2009,Electricity,Reciprocating Engine,,0.421,,,0.0000,0.0000
,10641,Quarry Hills Soils LF,MA,Ricciuti Drive,Quincy,Norfolk,02169,42.2417,-71.04503,Private,Quarry Hills Associates Inc.,1998,2001,Closed,,,Yes,,,180921-1,Shutdown,"Project #1, De-Expansion #1",1/1/2010,12/31/2016,Electricity,Reciprocating Engine,,0.38,,,0.0000,0.0000
,10641,Quarry Hills Soils LF,MA,Ricciuti Drive,Quincy,Norfolk,02169,42.2417,-71.04503,Private,Quarry Hills Associates Inc.,1998,2001,Closed,,,Yes,,,180921-2,Operational,"Project #1, De-Expansion #2",1/1/2017,,Electricity,Reciprocating Engine,,0.3,,,0.0136,0.0016
1007947,792,Randolph LF,MA,Johnson Drive,Randolph,Norfolk,02368,42.1806,-71.0784,Private,"Republic Services, Inc.",1932,1995,Closed,"1,812,096",,Yes,0.367,,862-0,Shutdown,Project #1,2/1/2000,6/1/2010,Electricity,Reciprocating Engine,,2.7,,,,
,780,RCI Hudson/Stow LF,MA,Old Stow Road,Hudson,Middlesex,01749,42.405,-71.542,Private,"Waste Management, Inc.",1978,1995,Closed,"711,360",,No,,,850-0,Low Potential,,,,Unknown,Unknown,,,,,,
,1836,Shaffer Landfill,MA,,Billerica,Middlesex,01821,42.5814,-71.245,Private,PRP Group,1913,1987,Closed,,,No,,,166409-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004157,2301,South Hadley Landfill LLC,MA,12 Industrial Drive,South Hadley,Hampshire,01075,42.22,-72.558,Public,"Town of South Hadley, MA",1951,2014,Closed,"1,300,000",2010,Yes,0.842,0.842,180394-0,Low Potential,,,,Unknown,Unknown,,,,,,
,800,South Meadow Road LF,MA,South Meadow Road,Clinton,Middlesex,01510,42.4115,-71.7128,Public,Town of Clinton,,1988,Closed,"1,500,000",,No,,,870-0,Low Potential,,,,Unknown,Unknown,,,,,,
1005254,10100,Southbridge Recycling & Disposal Park,MA,165 Barefoot Road,Southbridge,Worcester,01550,42.10691,-72.0324,Public,"Town of Southbridge, MA",1981,2018,Closed,"5,305,992",2018,Yes,3.807,,180834-0,Operational,Project #1,1/3/2012,,Electricity,Reciprocating Engine,,1.4,1.6,0.8,0.0633,0.0073
,21141,Sturbridge Landfill,MA,154 Breakneck Road,Sturbridge,Worcester,1556,42.043815,-72.118011,Public,"Town of Sturbridge, MA",1973,2030,Open,,,Unknown,,,201372-0,Unknown,,,,Unknown,Unknown,,,,,,
1003532,786,Taunton SLF,MA,340 East Britannia Street,Taunton,Bristol,02780,41.9223,-71.0836,Private,"Waste Management, Inc.",1938,2020,Closed,"3,989,559",2019,Yes,1.075,,856-0,Operational,Project #1,9/1/1997,,Electricity,Reciprocating Engine,,1.55,1.9,,0.0700,0.0081
1003532,786,Taunton SLF,MA,340 East Britannia Street,Taunton,Bristol,02780,41.9223,-71.0836,Private,"Waste Management, Inc.",1938,2020,Closed,"3,989,559",2019,Yes,1.075,,856-1,Operational,"Project #1, Expansion #1",5/9/2011,,Electricity,Reciprocating Engine,,0.56,1.9,,0.0253,0.0029
,10362,Wayland LF,MA,484 Boston Post Road,Wayland,Middlesex,01778,42.36326667,-71.38081667,Public,"Town of Wayland, MA",1979,2010,Closed,"99,190",2007,No,,,180869-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003393,10780,West Street Landfill,MA,744 West Street,Gardner,Worcester,01440,42.581,-72.045,Public,"City of Gardner, MA",1911,2005,Closed,"2,780,000",2005,Yes,0.265,0,180930-0,Operational,Project #1,3/1/2010,,Electricity,Reciprocating Engine,,0.5,1.62,,0.0226,0.0026
,2197,Westfield Landfill,MA,Twiss Street,Westfield,Hampden,01085,42.148,-72.748,Public,"City of Westfield, MA",,1997,Closed,,,Yes,,,180280-0,Shutdown,Project #1,6/11/2004,6/30/2006,Electricity,Reciprocating Engine,,0.24,,,,
,1951,Winchendon Landfill,MA,202 River Street,Winchendon,Worcester,01475,42.6788,-72.0602,Public,"Town of Winchendon, MA",,1999,Closed,,,Yes,,,167033-0,Low Potential,,,,Unknown,Unknown,,,,,,
